frame.number,frame.time_relative,ip.src,ip.dst,tcp.len,tcp.payload
231,53.070095600,192.168.95.42,192.168.95.41,6,000000026869
232,53.070748400,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
234,54.071416200,192.168.95.42,192.168.95.41,6,000000026869
235,54.072092700,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
238,55.072752400,192.168.95.42,192.168.95.41,6,000000026869
239,55.073360800,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
242,56.074075900,192.168.95.42,192.168.95.41,6,000000026869
243,56.074664600,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
246,57.075391700,192.168.95.42,192.168.95.41,6,000000026869
247,57.075981800,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
249,58.076717600,192.168.95.42,192.168.95.41,6,000000026869
250,58.077367900,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
252,59.078029000,192.168.95.42,192.168.95.41,6,000000026869
253,59.078687600,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
255,60.079367100,192.168.95.42,192.168.95.41,6,000000026869
256,60.080014300,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
258,61.080681600,192.168.95.42,192.168.95.41,6,000000026869
259,61.081339900,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
261,61.260264800,192.168.95.41,192.168.95.42,104,000e00643130310a31392e30332e323032365f31313a31313a33360a39300a31310a2039350a20300a20496e697469616c69736174696f6e206f6620496e737472756d656e742e2052756e53657175656e6365722c20446574656374696f6e2020646f6e652e0a0a
262,61.260370100,192.168.95.42,192.168.95.41,7,000e0003313031
264,61.261339800,192.168.95.41,192.168.95.42,96,0010005c3130320a31392e30332e323032365f31313a31313a33360a3130303430353035300a4d524345786572756e536572766572496e69743a3a4f6e416e737765723a204170706c69636174696f6e20696e69742066696e69736865642e0a
265,61.261376400,192.168.95.42,192.168.95.41,7,00100003313032
267,61.262388100,192.168.95.41,192.168.95.42,83,000e004f3130330a31392e30332e323032365f31313a31313a33360a39300a31310a203130300a20300a20496e697469616c69736174696f6e206f6620496e737472756d656e742066696e69736865642e0a0a
268,61.262447700,192.168.95.42,192.168.95.41,7,000e0003313033
270,61.263473700,192.168.95.41,192.168.95.42,139,001000873130340a31392e30332e323032365f31313a31313a33360a3130303430353037300a53544345786572756e536572766572496e69743a3a4f6e416e737765723a20506f7765726661696c20686173206f6375727265642c206368616e676520696e746f20436c65616e757020537461746520746f20636c65616e207468652073797374656d210a
271,61.263507100,192.168.95.42,192.168.95.41,7,00100003313034
273,61.264331400,192.168.95.41,192.168.95.42,34,000e001e3130350a31392e30332e323032365f31313a31313a33360a31310a350a0a
274,61.264372600,192.168.95.42,192.168.95.41,7,000e0003313035
276,61.265263500,192.168.95.41,192.168.95.42,34,000e001e3130360a31392e30332e323032365f31313a31313a33360a31310a360a0a
277,61.265302500,192.168.95.42,192.168.95.41,7,000e0003313036
279,62.082011300,192.168.95.42,192.168.95.41,6,000000026869
281,62.082714500,192.168.95.41,192.168.95.42,14,0000000a436f6e6e656374696f6e
283,63.083325100,192.168.95.42,192.168.95.41,6,000000026869
